ANO_1,ID_REGIAO,REGIAO,ID_MUNICIPIO,MUNICIPIO,ANO,MES,GR_NATUREZA,QT_VITIMAS
2024,3,Interior,291060,Esplanada,2024,1,HOMICIDIO DOLOSO,1
2023,3,Interior,291060,Esplanada,2023,1,HOMICIDIO DOLOSO,1
2023,3,Interior,291070,Euclides da Cunha,2023,1,HOMICIDIO DOLOSO,1
2024,3,Interior,291072,Eunapolis,2024,1,HOMICIDIO DOLOSO,4
2023,3,Interior,291072,Eunapolis,2023,1,HOMICIDIO DOLOSO,2
2024,3,Interior,291075,Fatima,2024,1,HOMICIDIO DOLOSO,1
2023,3,Interior,291080,Feira de Santana,2023,1,ROUBO COM RESULTADO MORTE - (LATROCINIO),1
2023,3,Interior,291080,Feira de Santana,2023,1,HOMICÍDIO OCORRIDO EM PRESÍDIO,3
2023,3,Interior,291080,Feira de Santana,2023,1,LESAO CORPORAL SEGUIDA DE MORTE,1
2023,3,Interior,291080,Feira de Santana,2023,1,HOMICIDIO DOLOSO,34
2024,3,Interior,291080,Feira de Santana,2024,1,HOMICIDIO DOLOSO,32
2024,3,Interior,291080,Feira de Santana,2024,1,ROUBO COM RESULTADO MORTE - (LATROCINIO),1
2023,3,Interior,291090,Firmino Alves,2023,1,HOMICIDIO DOLOSO,1
2024,3,Interior,291120,Gandu,2024,1,HOMICIDIO DOLOSO,2
2024,3,Interior,291140,Gloria,2024,1,HOMICIDIO DOLOSO,1
2024,3,Interior,291150,Gongogi,2024,1,HOMICIDIO DOLOSO,1
2023,3,Interior,291160,Governador Mangabeira,2023,1,HOMICIDIO DOLOSO,1
2023,3,Interior,291180,Guaratinga,2023,1,HOMICIDIO DOLOSO,1
